ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;890916324;33.354,85;27.831,96;5.522,89;1.887,39;1.679,19;901,83;2.858,15;0;2.068,90;2.068,90;-;-;789,26;505,79;0;283,47;303,75
2019;890916324;33.004,54;25.495,71;7.508,83;1.552,43;2.427,15;311,64;3.840,89;0;2.557,10;2.557,10;0;0;1.283,79;372,17;0;911,62;159,9
2018;890916324;31.742,06;24.307,34;7.434,72;1.433,52;2.199,53;-35,23;3.766,44;0;2.055,23;2.055,23;-;0;1.711,22;1.039,23;0;671,99;209,41
2017;890916324;28.361,45;22.291,81;6.069,64;1.170,82;1.375,69;11,67;3.534,80;0;2.316,68;2.316,68;0;0;1.218,12;493,64;0;724,48;202,05
2016;890916324;26.010,35;21.066,28;4.944,07;839,28;1.154,31;37,59;2.988,07;1.288,64;2.110,96;2.110,96;-;-;2.165,75;512,05;0;1.653,70;122,44
2015;890916324;17.894,33;14.006,41;3.887,92;560,91;1.001,37;-;2.325,65;200,43;1.425,12;608,72;816,41;-;1.100,95;374,32;-;726,63;-
2014;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;890916324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
