ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo
2020;901029518;291.011,66;216.885,66;74.126,01;4.181,69;21.968,41;2.217,59;50.193,49;0;9.649,65;9.649,65;-;0;40.543,85;14.330,33;0;26.213,51;9.303,03
2019;901029518;0;0;0;2.686,31;0;0;-2.686,31;0;14.776,49;14.776,49;0;23.033,71;5.570,92;15,06;0;5.555,86;2.559,83
2018;901029518;0;0;0;2.717,31;0;204,56;-2.512,75;0;1.197,81;1.197,81;-;18.347,10;14.636,54;62,66;0;14.573,88;2.559,83
2017;901029518;0;0;0;0;0;215,84;215,84;0;767,59;767,59;-;9.767,37;9.215,61;21,22;0;9.194,39;-
2016;901029518;0;0;0;0;0;0;0;0;1.000,12;1.000,12;-;0;-1.000,12;0;0;-1.000,12;-
2015;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;901029518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
