ESTADO DE RESULTADOS;NIT;Ingresos Operacionales;Costo De Ventas Y De Prestación De Servicios;UTILIDAD BRUTA;Gastos Operacionales De Administración;Gastos Operacionales De Ventas;Otras ganancias (pérdidas) Operaciones por Ajuste Niif;UTILIDAD OPERACIONAL;Ingresos No Operacionales;Gastos No Operacionales;Intereses Financieros;Otros Gastos No Operacionales;Ajustes No Operacionales Normas Internacionales;UTILIDAD ANTES DE IMPUESTOS Y AJUSTES X INFLACION;Impuesto De Renta Y Complementarios;Ganancia (pérdida) procedente de operaciones discontinuadas;GANANCIAS Y PERDIDAS;Depreciacion del Periodo;Amortizaciones
2020;900062992;25.098,58;16.543,09;8.555,49;4.480,90;2.681,62;346,14;1.739,11;230,28;1.215,65;1.215,65;-;0;753,74;590,21;0;163,53;506,55;-
2019;900062992;26.123,01;14.654,87;11.468,14;2.863,42;7.247,65;997,55;2.354,62;169,03;995,5;995,5;0;0;1.528,15;722,68;0;805,47;496,56;-
2018;900062992;25.021,57;14.395,99;10.625,58;2.219,50;7.954,87;1.978,72;2.429,93;0;913,39;913,39;-;0;1.516,54;654,69;0;861,85;476;-
2017;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;900062992;24.706,55;16.883,75;7.822,80;3.026,52;4.351,15;619,51;1.064,65;881,95;535,75;535,75;0;-;1.410,85;652,02;0;758,82;496,17;-
2015;900062992;24.735,18;15.068,32;9.666,86;1.724,48;3.437,95;-;4.504,43;757,58;3.422,21;171,58;3.250,63;-;1.839,79;762,13;-;1.077,67;-;-
2014;900062992;18.780,31;11.838,86;6.941,45;1.370,33;2.508,52;-;3.062,60;183,53;1.546,07;-;-;-;1.700,07;671,11;-;1.028,96;465,24;0
2013;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2011;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2010;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2008;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2007;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2006;900062992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
